"month","UBIGEO","e_salud","dx_code","dx_type","leish_cases"
2001-09-01,170302,"170101A101","B55.1","C",1
2001-09-01,170203,"170101A101","B55.2","C",1
2001-09-01,170103,"170101A304","B55.1","C",1
2001-09-01,170101,"170101A318","B55.1","C",1
2001-09-01,170104,"170101A318","B55.1","C",1
2001-09-01,170102,"170102A308","B55.1","C",1
2001-09-01,170302,"170103A303","B55.2","C",1
2001-09-01,170103,"170103A307","B55.1","C",1
2001-09-01,170203,"170203A304","B55.1","C",1
2001-09-01,170203,"170204A304","B55.1","C",1
2001-09-01,170302,"170302A305","B55.1","C",1
2001-09-01,170303,"170303A201","B55.1","C",1
2001-10-01,170102,"080101A101","B55.1","C",1
2001-10-01,170203,"080101A101","B55.1","C",1
2001-10-01,170101,"080106A101","B55.1","C",1
2001-10-01,170102,"080106A101","B55.1","C",1
2001-10-01,170203,"080106A101","B55.1","C",1
2001-10-01,170101,"080106A101","B55.2","C",1
2001-10-01,170101,"081201A201","B55.1","D",1
2001-10-01,170204,"150111A101","B55.2","C",1
2001-10-01,170103,"170101A101","B55.1","C",3
2001-10-01,170101,"170101C101","B55.1","C",1
2001-10-01,170102,"170102A201","B55.1","C",2
2001-10-01,170203,"170102A201","B55.2","C",1
2001-10-01,170103,"170103A202","B55.1","C",2
2001-10-01,170103,"170103A303","B55.1","C",1
2001-10-01,170201,"170201A304","B55.1","C",1
2001-10-01,170203,"170203A301","B55.1","C",1
2001-10-01,170203,"170203A304","B55.1","C",1
2001-10-01,170203,"170203A305","B55.1","C",2
2001-10-01,170203,"170204A201","B55.1","C",2
2001-10-01,170301,"170301A201","B55.1","C",1
2001-10-01,170302,"170302A101","B55.1","C",1
2001-10-01,170303,"170302A307","B55.1","C",1
2001-11-01,170203,"080106A101","B55.1","C",1
2001-11-01,170104,"170101A318","B55.1","C",1
2001-11-01,170102,"170102A201","B55.1","C",3
2001-11-01,170104,"170104A201","B55.1","C",1
2001-11-01,170203,"170203A201","B55.1","C",1
2001-11-01,170203,"170203A306","B55.1","C",1
2001-12-01,170203,"081201A201","B55.2","P",1
2001-12-01,170101,"170101A320","B55.1","C",1
2001-12-01,170101,"170101C101","B55.1","C",1
2001-12-01,170203,"170203A307","B55.1","C",1
2001-12-01,170101,"210101A101","B55.1","C",1
2002-01-01,170203,"030101A202","B55.1","D",1
2002-01-01,170203,"040101A101","B55.1","C",1
2002-01-01,170302,"040101A102","B55.1","C",1
2002-01-01,170201,"040101A102","B55.2","C",1
2002-01-01,170203,"040101A102","B55.2","C",1
2002-01-01,170201,"080101A101","B55.1","C",1
2002-01-01,170204,"080101A101","B55.1","C",1
2002-01-01,170101,"080106A101","B55.1","C",2
2002-01-01,170104,"080106A101","B55.1","C",1
2002-01-01,170203,"080106A101","B55.1","C",4
2002-01-01,170204,"080106A101","B55.1","C",1
2002-01-01,170101,"080106A101","B55.2","C",1
2002-01-01,170102,"080106A101","B55.2","C",1
2002-01-01,170104,"080106A101","B55.2","C",2
2002-01-01,170203,"080106A101","B55.2","C",1
2002-01-01,170204,"080106A101","B55.2","C",4
2002-01-01,170101,"080601A101","B55.2","C",1
